iter	Passed	Remaining
0	109	109120
1	125	62767
2	140	46586
3	154	38396
4	170	33881
5	185	30803
6	200	28420
7	218	27085
8	234	25862
9	248	24583
10	259	23293
11	272	22422
12	286	21766
13	299	21113
14	312	20504
15	325	20035
16	342	19812
17	357	19481
18	370	19122
19	384	18833
20	398	18571
21	411	18293
22	424	18027
23	437	17797
24	450	17582
25	464	17383
26	477	17191
27	490	17034
28	504	16892
29	519	16811
30	534	16702
31	548	16588
32	560	16428
33	574	16324
34	591	16302
35	604	16188
36	618	16108
37	632	16021
38	645	15914
39	658	15810
40	673	15759
41	686	15667
42	699	15566
43	713	15496
44	726	15421
45	741	15369
46	754	15292
47	768	15236
48	781	15168
49	794	15100
50	808	15040
51	821	14977
52	835	14922
53	848	14857
54	863	14833
55	877	14791
56	892	14770
57	905	14711
58	918	14650
59	930	14584
60	944	14538
61	957	14493
62	970	14440
63	984	14395
64	997	14345
65	1013	14341
66	1026	14297
67	1040	14256
68	1052	14207
69	1067	14178
70	1081	14150
71	1094	14108
72	1108	14072
73	1121	14034
74	1134	13991
75	1147	13955
76	1161	13924
77	1174	13888
78	1189	13867
79	1204	13847
80	1218	13820
81	1232	13792
82	1245	13760
83	1258	13720
84	1271	13687
85	1285	13657
86	1297	13621
87	1311	13592
88	1326	13573
89	1339	13542
90	1354	13525
91	1368	13511
92	1383	13496
93	1397	13474
94	1413	13463
95	1426	13434
96	1440	13406
97	1453	13375
98	1466	13345
99	1479	13316
100	1493	13290
101	1507	13274
102	1522	13257
103	1536	13238
104	1550	13215
105	1563	13183
106	1578	13171
107	1592	13155
108	1605	13123
109	1618	13091
110	1632	13072
111	1645	13048
112	1658	13022
113	1672	13001
114	1685	12970
115	1699	12947
116	1712	12926
117	1726	12905
118	1740	12887
119	1754	12867
120	1768	12848
121	1782	12829
122	1796	12811
123	1809	12785
124	1823	12762
125	1837	12747
126	1850	12721
127	1864	12698
128	1877	12676
129	1890	12650
130	1903	12628
131	1917	12606
132	1929	12580
133	1946	12576
134	1959	12557
135	1973	12537
136	1988	12525
137	2001	12501
138	2020	12517
139	2033	12493
140	2046	12468
141	2059	12444
142	2072	12421
143	2085	12396
144	2098	12373
145	2111	12347
146	2124	12327
147	2137	12307
148	2151	12288
149	2164	12265
150	2177	12242
151	2190	12220
152	2203	12197
153	2218	12185
154	2234	12183
155	2248	12165
156	2261	12142
157	2274	12120
158	2287	12096
159	2300	12075
160	2314	12060
161	2326	12035
162	2340	12017
163	2355	12005
164	2368	11984
165	2381	11962
166	2394	11942
167	2407	11921
168	2419	11898
169	2432	11877
170	2445	11854
171	2460	11847
172	2475	11832
173	2488	11811
174	2500	11789
175	2513	11767
176	2526	11747
177	2538	11724
178	2551	11702
179	2565	11687
180	2578	11665
181	2591	11645
182	2604	11627
183	2616	11602
184	2629	11585
185	2645	11576
186	2658	11559
187	2672	11542
188	2685	11523
189	2698	11504
190	2711	11483
191	2723	11463
192	2736	11442
193	2749	11422
194	2762	11405
195	2775	11387
196	2790	11373
197	2803	11356
198	2816	11338
199	2833	11335
200	2847	11318
201	2860	11298
202	2873	11281
203	2886	11262
204	2901	11250
205	2914	11232
206	2928	11217
207	2941	11199
208	2953	11179
209	2967	11163
210	2981	11147
211	2997	11141
212	3018	11153
213	3032	11137
214	3050	11138
215	3067	11134
216	3085	11134
217	3103	11131
218	3120	11127
219	3137	11123
220	3154	11119
221	3168	11103
222	3182	11090
223	3196	11073
224	3210	11057
225	3223	11040
226	3236	11022
227	3250	11006
228	3263	10988
229	3277	10973
230	3291	10956
231	3304	10938
232	3317	10920
233	3331	10904
234	3344	10887
235	3358	10870
236	3373	10860
237	3386	10841
238	3399	10824
239	3413	10809
240	3427	10794
241	3442	10781
242	3456	10767
243	3470	10753
244	3485	10739
245	3498	10722
246	3511	10706
247	3527	10696
248	3541	10680
249	3556	10669
250	3570	10654
251	3583	10636
252	3596	10620
253	3611	10606
254	3625	10591
255	3639	10578
256	3655	10567
257	3672	10562
258	3686	10546
259	3699	10529
260	3712	10512
261	3726	10497
262	3739	10478
263	3753	10463
264	3766	10447
265	3781	10433
266	3794	10416
267	3808	10403
268	3822	10388
269	3837	10374
270	3851	10360
271	3864	10344
272	3878	10328
273	3892	10313
274	3906	10299
275	3921	10285
276	3934	10269
277	3948	10254
278	3963	10241
279	3977	10228
280	3991	10211
281	4003	10194
282	4024	10197
283	4040	10186
284	4053	10170
285	4067	10154
286	4080	10138
287	4094	10123
288	4108	10108
289	4122	10091
290	4135	10076
291	4149	10061
292	4163	10046
293	4177	10030
294	4190	10014
295	4203	9997
296	4217	9982
297	4230	9964
298	4242	9946
299	4256	9930
300	4268	9913
301	4281	9896
302	4294	9879
303	4308	9863
304	4321	9848
305	4335	9832
306	4348	9815
307	4360	9797
308	4375	9784
309	4389	9770
310	4402	9753
311	4415	9737
312	4429	9721
313	4442	9706
314	4456	9690
315	4470	9676
316	4484	9661
